date,sales,region,product
2024-01-01,610,Запад,Товар A
2024-01-02,465,Юг,Товар A
2024-01-03,482,Восток,Товар B
2024-01-04,422,Запад,Товар C
2024-01-05,198,Запад,Товар B
2024-01-06,842,Запад,Товар B
2024-01-07,117,Юг,Товар A
2024-01-08,695,Юг,Товар B
2024-01-09,206,Запад,Товар B
2024-01-10,223,Юг,Товар C
2024-01-11,669,Восток,Товар A
2024-01-12,314,Запад,Товар B
2024-01-13,837,Запад,Товар B
2024-01-14,196,Запад,Товар A
2024-01-15,213,Запад,Товар C
2024-01-16,738,Север,Товар B
2024-01-17,147,Восток,Товар B
2024-01-18,173,Восток,Товар C
2024-01-19,644,Юг,Товар B
2024-01-20,324,Запад,Товар C
2024-01-21,211,Восток,Товар C
2024-01-22,509,Восток,Товар C
2024-01-23,439,Запад,Товар B
2024-01-24,946,Юг,Товар B
2024-01-25,353,Восток,Товар C
2024-01-26,520,Север,Товар C
2024-01-27,708,Восток,Товар C
2024-01-28,308,Запад,Товар B
2024-01-29,168,Восток,Товар B
2024-01-30,917,Юг,Товар C
2024-01-31,923,Юг,Товар C
2024-02-01,551,Восток,Товар A
2024-02-02,102,Восток,Товар A
2024-02-03,440,Запад,Товар C
2024-02-04,139,Север,Товар B
2024-02-05,422,Запад,Товар C
2024-02-06,696,Юг,Товар C
2024-02-07,659,Запад,Товар B
2024-02-08,604,Юг,Товар B
2024-02-09,276,Север,Товар C
2024-02-10,235,Юг,Товар C
2024-02-11,973,Север,Товар B
2024-02-12,199,Юг,Товар C
2024-02-13,480,Восток,Товар A
2024-02-14,960,Восток,Товар A
2024-02-15,280,Запад,Товар A
2024-02-16,458,Запад,Товар A
2024-02-17,965,Север,Товар B
2024-02-18,313,Юг,Товар A
2024-02-19,730,Юг,Товар A
2024-02-20,962,Юг,Товар A
2024-02-21,511,Север,Товар B
2024-02-22,390,Запад,Товар C
2024-02-23,688,Юг,Товар B
2024-02-24,780,Юг,Товар B
2024-02-25,999,Запад,Товар B
2024-02-26,206,Север,Товар A
2024-02-27,937,Восток,Товар B
2024-02-28,676,Запад,Товар A
2024-02-29,943,Юг,Товар C
2024-03-01,518,Восток,Товар C
2024-03-02,926,Север,Товар A
2024-03-03,494,Юг,Товар A
2024-03-04,890,Север,Товар C
2024-03-05,817,Восток,Товар B
2024-03-06,246,Север,Товар B
2024-03-07,584,Запад,Товар B
2024-03-08,371,Север,Товар B
2024-03-09,511,Запад,Товар B
2024-03-10,865,Запад,Товар C
2024-03-11,258,Восток,Товар C
2024-03-12,280,Север,Товар B
2024-03-13,682,Восток,Товар C
2024-03-14,465,Юг,Товар A
2024-03-15,471,Север,Товар B
2024-03-16,254,Север,Товар A
2024-03-17,820,Запад,Товар B
2024-03-18,490,Север,Товар B
2024-03-19,882,Север,Товар C
2024-03-20,355,Запад,Товар B
2024-03-21,344,Север,Товар C
2024-03-22,459,Север,Товар A
2024-03-23,229,Юг,Товар C
2024-03-24,655,Север,Товар B
2024-03-25,286,Север,Товар B
2024-03-26,457,Север,Товар A
2024-03-27,795,Восток,Товар B
2024-03-28,637,Запад,Товар A
2024-03-29,534,Восток,Товар C
2024-03-30,924,Юг,Товар A
2024-03-31,405,Юг,Товар B
2024-04-01,880,Север,Товар B
2024-04-02,630,Восток,Товар C
2024-04-03,565,Восток,Товар A
2024-04-04,613,Юг,Товар A
2024-04-05,151,Восток,Товар A
2024-04-06,985,Восток,Товар B
2024-04-07,845,Север,Товар A
2024-04-08,404,Запад,Товар B
2024-04-09,156,Восток,Товар A
